,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Binned 1st Semester,Binned 2nd Semester
499,1,8,1,12,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,8,8,8,12.77125,0,0,8,8,8,12.77125,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
501,1,8,2,11,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,7,5,14.6,0,11.1,0.6,2.02,Graduate,Average GPA,Above Average GPA
503,1,4,2,6,1,3,1,1,1,1,1,0,0,0,0,0,0,28,0,0,5,9,1,12.0,1,0,4,10,0,0.0,4,10.8,1.4,1.74,Dropout,Average GPA,Very Low GPA
504,1,1,2,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,12,7,11.721428571428572,0,0,8,12,7,11.721428571428572,0,12.7,3.7,-1.7,Graduate,Low GPA,Low GPA
507,1,1,2,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,13.666666666666666,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
508,1,1,1,8,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,5,12,4,13.0,2,0,5,6,5,14.0,0,9.4,-0.8,-3.12,Dropout,Average GPA,Above Average GPA
509,1,1,2,9,1,1,1,1,1,1,1,0,1,0,1,0,0,21,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
511,2,12,1,3,0,1,1,2,2,2,2,0,0,0,0,0,0,32,0,0,5,5,0,0.0,0,0,5,10,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
512,1,12,2,14,1,1,1,1,1,1,1,0,0,0,1,0,0,28,0,0,5,6,4,12.5,0,0,5,7,4,11.75,0,7.6,2.6,0.32,Graduate,Average GPA,Low GPA
513,1,12,1,17,0,1,1,1,1,1,1,0,0,0,0,0,0,40,0,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Very Low GPA,Very Low GPA
514,2,9,2,3,0,1,1,2,2,2,2,0,0,1,0,0,0,39,0,0,5,5,0,0.0,0,0,4,4,0,0.0,0,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
515,2,9,2,10,1,1,1,2,2,2,2,0,0,1,0,0,0,39,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
516,2,12,1,4,1,1,1,2,2,2,2,0,0,0,1,0,0,50,0,0,6,7,6,12.5,0,0,6,15,5,12.4,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
517,1,8,2,16,1,1,1,1,1,1,1,1,0,0,1,0,0,23,0,0,6,10,5,12.8,0,0,6,9,3,11.666666666666666,0,10.8,1.4,1.74,Dropout,Average GPA,Low GPA
518,4,12,1,3,0,12,1,4,4,4,4,0,0,0,1,0,0,48,0,0,6,11,1,10.0,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,Low GPA,Low GPA
519,1,8,2,16,1,1,1,1,1,1,1,1,0,0,1,0,0,23,0,0,6,11,4,11.25,0,0,6,10,5,10.2,0,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
520,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,7,12.61,0,0,8,8,7,12.61,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
521,1,8,1,8,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,5,14,2,12.0,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
522,1,6,1,10,1,1,12,1,1,1,1,1,0,0,0,0,0,20,1,0,6,9,5,13.0,0,0,6,7,6,13.5,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
523,1,9,3,6,1,1,18,1,1,1,1,1,0,0,1,0,1,18,1,0,5,9,4,12.0,0,0,5,8,5,13.0,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
524,1,1,1,13,1,1,18,1,1,1,1,1,0,0,1,0,0,18,1,0,7,8,4,12.0,0,0,8,8,0,0.0,0,16.2,0.3,-0.92,Dropout,Average GPA,Very Low GPA
525,1,14,1,7,1,1,1,1,1,1,1,0,0,0,1,1,0,31,0,0,5,12,1,12.0,0,0,5,9,1,11.0,4,16.2,0.3,-0.92,Dropout,Average GPA,Low GPA
527,1,12,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,24,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,Very Low GPA,Very Low GPA
528,1,12,1,9,1,1,1,1,1,1,1,0,0,1,0,1,0,26,0,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
529,1,1,1,8,1,1,1,1,1,1,1,1,0,1,1,1,0,18,0,0,6,11,5,13.625,0,0,6,9,4,11.75,0,16.2,0.3,-0.92,Dropout,Average GPA,Low GPA
531,1,8,1,14,1,1,1,1,1,1,1,1,0,0,1,1,0,22,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout,Very Low GPA,Very Low GPA
532,1,1,2,12,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,Graduate,Low GPA,Low GPA
533,1,15,1,5,1,14,1,1,1,1,1,0,0,1,0,1,0,20,0,0,6,11,0,0.0,6,0,6,12,0,0.0,12,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
534,1,15,1,2,1,14,1,1,1,1,1,0,0,0,1,1,0,25,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Graduate,Very Low GPA,Very Low GPA
535,1,14,1,17,0,1,1,1,1,1,1,1,0,0,1,1,0,24,0,0,5,10,4,11.5,0,0,5,11,5,11.285714285714286,0,13.9,-0.3,0.79,Graduate,Low GPA,Low GPA
536,1,12,1,7,1,1,1,1,1,1,1,1,0,0,1,1,0,27,0,0,5,10,1,14.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout,Above Average GPA,Very Low GPA
537,1,8,1,11,1,1,1,1,1,1,1,0,0,0,1,1,0,21,0,0,6,7,5,11.0,0,0,6,7,5,12.4,0,15.5,2.8,-4.06,Graduate,Low GPA,Average GPA
538,1,15,1,4,1,14,1,1,1,1,1,1,0,0,1,1,0,21,0,0,6,7,6,12.857142857142858,0,0,6,6,6,13.166666666666666,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
539,1,9,3,15,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,6,9,4,12.5,0,0,6,6,6,11.333333333333334,0,10.8,1.4,1.74,Dropout,Average GPA,Low GPA
540,1,12,1,12,1,1,1,1,1,1,1,0,0,0,1,1,0,28,0,0,7,7,7,14.528571428571428,0,0,8,11,8,15.018181818181818,0,16.2,0.3,-0.92,Graduate,Above Average GPA,Above Average GPA
542,1,15,1,4,1,14,1,1,1,1,1,0,0,0,1,1,1,21,0,0,6,8,6,13.0,0,0,6,10,6,12.625,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
543,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,1,1,18,0,0,7,7,7,15.957142857142856,0,0,8,9,8,15.188888888888888,0,16.2,0.3,-0.92,Graduate,Above Average GPA,Above Average GPA
549,1,8,2,9,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,8,5,13.25,0,0,5,8,5,11.0,0,13.9,-0.3,0.79,Graduate,Average GPA,Low GPA
550,1,1,5,7,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,12,3,12.0,0,0,5,10,3,12.0,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
551,1,12,1,15,1,12,1,1,1,1,1,1,0,1,0,1,0,25,0,0,6,10,4,13.0,0,0,6,9,4,13.75,0,12.7,3.7,-1.7,Dropout,Average GPA,Average GPA
552,1,14,1,5,1,1,1,1,1,1,1,0,0,1,1,1,0,21,0,5,11,12,9,11.77777777777778,0,3,8,11,3,13.666666666666666,0,15.5,2.8,-4.06,Dropout,Low GPA,Average GPA
553,1,8,3,7,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,10,2,11.0,0,0,6,10,0,0.0,0,11.1,0.6,2.02,Dropout,Low GPA,Very Low GPA
554,1,8,2,9,1,1,1,1,1,1,1,0,0,0,1,1,0,20,0,0,5,14,0,0.0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
555,1,15,1,4,1,14,1,1,1,1,1,0,0,0,1,1,0,25,0,9,14,16,14,12.428571428571429,0,3,9,13,6,10.857142857142858,0,15.5,2.8,-4.06,Dropout,Average GPA,Low GPA
557,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate,Very Low GPA,Very Low GPA
559,1,13,1,12,1,1,1,1,1,1,1,1,0,0,1,1,0,23,0,0,8,8,8,12.5075,0,0,8,8,8,12.5075,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
560,1,17,1,4,1,16,1,1,1,1,1,0,0,0,1,1,0,21,0,7,12,18,11,12.090909090909092,0,5,12,14,11,12.0,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
562,1,12,1,17,0,1,1,1,1,1,1,0,0,0,1,1,0,25,0,0,5,13,1,10.0,0,0,5,8,2,11.333333333333334,0,12.4,0.5,1.79,Dropout,Low GPA,Low GPA
563,1,1,1,8,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
564,1,1,6,5,1,6,1,1,1,1,1,1,0,0,1,1,0,22,0,0,6,6,6,14.166666666666666,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate,Above Average GPA,Average GPA
565,1,12,1,14,1,1,1,1,1,1,1,0,0,0,1,1,0,27,0,0,6,7,6,14.0,0,0,6,7,6,14.714285714285714,0,8.9,1.4,3.51,Graduate,Above Average GPA,Above Average GPA
566,1,12,1,4,1,12,1,1,1,1,1,0,0,0,1,1,0,25,0,0,3,4,0,0.0,0,0,3,5,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
567,1,8,4,7,1,1,1,1,1,1,1,1,0,0,1,1,0,18,0,0,5,9,3,11.666666666666666,0,0,5,10,3,11.333333333333334,4,7.6,2.6,0.32,Dropout,Low GPA,Low GPA
568,1,8,1,6,1,1,1,1,1,1,1,0,0,0,1,1,0,20,0,0,5,7,5,14.6,1,0,5,5,5,14.2,0,12.7,3.7,-1.7,Graduate,Above Average GPA,Above Average GPA
569,1,12,1,4,1,1,1,1,1,1,1,0,0,0,1,1,0,27,0,0,6,10,5,13.0,0,0,6,13,5,11.5,0,16.2,0.3,-0.92,Graduate,Average GPA,Low GPA
570,1,1,1,3,0,1,1,1,1,1,1,0,0,0,1,1,0,20,0,0,6,7,6,12.166666666666666,0,0,6,9,6,12.0,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
571,1,1,1,9,1,1,1,1,1,1,1,1,0,0,1,1,0,22,0,0,5,9,0,0.0,0,0,5,5,1,12.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Average GPA
572,1,8,6,7,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,5,10,3,10.5,0,0,5,11,3,10.8,0,12.4,0.5,1.79,Dropout,Low GPA,Low GPA
574,1,14,4,2,1,1,1,1,1,1,1,0,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,Very Low GPA,Very Low GPA
575,2,12,1,6,1,7,1,2,2,2,2,1,0,0,0,1,0,29,0,0,5,12,0,0.0,4,0,5,8,0,0.0,1,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
576,1,1,2,12,1,1,1,1,1,1,1,0,0,0,1,1,0,19,0,0,8,8,7,13.828571428571427,0,0,8,8,7,13.828571428571427,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
578,2,1,1,10,1,1,1,2,2,2,2,0,0,0,1,0,0,20,0,0,6,7,6,11.5,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate,Low GPA,Low GPA
579,1,1,4,5,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,6,4,13.5,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
580,1,12,1,3,0,1,1,1,1,1,1,1,0,0,1,0,0,31,0,0,6,12,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Very Low GPA
581,1,8,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,8,7,12.5375,0,0,8,9,7,12.614285714285714,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
583,1,1,1,9,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,5,10,4,12.0,0,0,5,9,4,12.8,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
584,1,8,1,11,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate,Low GPA,Low GPA
585,1,1,1,9,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,5,5,5,15.0,0,0,5,5,5,15.2,0,12.7,3.7,-1.7,Graduate,Above Average GPA,Above Average GPA
586,1,8,1,6,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,5,7,3,12.0,0,0,5,7,5,13.2,0,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
587,1,8,1,15,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
588,1,1,3,11,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,12,6,11.666666666666666,0,0,6,14,3,12.0,0,7.6,2.6,0.32,Graduate,Low GPA,Average GPA
589,1,1,4,13,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,7,9,7,12.1625,0,0,8,8,8,13.825,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
590,1,1,2,14,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,13.833333333333334,0,0,6,11,6,14.555555555555555,0,10.8,1.4,1.74,Graduate,Average GPA,Above Average GPA
592,1,15,1,14,1,14,1,1,1,1,1,0,0,0,1,0,1,20,0,2,6,9,6,12.125,0,2,6,7,6,13.571428571428571,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
595,1,12,1,17,0,3,1,1,1,1,1,0,0,0,1,0,0,29,0,10,15,15,11,11.454545454545457,0,9,13,16,11,11.545454545454543,0,10.8,1.4,1.74,Dropout,Low GPA,Low GPA
596,1,8,1,16,1,1,1,1,1,1,1,0,0,0,0,0,1,20,0,0,6,10,4,12.0,0,0,6,14,3,10.0,0,7.6,2.6,0.32,Dropout,Average GPA,Low GPA
597,4,12,1,16,1,1,1,4,4,4,4,0,0,1,0,0,0,31,0,0,7,8,6,12.666666666666666,0,0,7,9,5,12.6,0,8.9,1.4,3.51,Dropout,Average GPA,Average GPA
598,1,8,1,14,1,1,1,1,1,1,1,0,1,0,1,0,0,20,0,0,6,7,6,12.666666666666666,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
599,1,8,1,4,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,12,18,22,18,11.88888888888889,1,11,13,13,13,11.461538461538462,0,15.5,2.8,-4.06,Graduate,Low GPA,Low GPA
600,1,4,1,8,1,3,1,1,1,1,1,1,0,0,1,0,0,23,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,Very Low GPA,Very Low GPA
601,1,8,5,5,1,1,1,1,1,1,1,0,0,1,0,0,0,21,0,0,6,6,4,13.0,0,0,6,8,4,11.6,0,10.8,1.4,1.74,Dropout,Average GPA,Low GPA
602,1,4,1,12,1,15,1,1,1,1,1,0,0,0,1,0,0,24,0,4,7,7,7,16.885714285714283,0,3,8,9,8,15.744444444444444,0,16.2,0.3,-0.92,Graduate,High GPA,Above Average GPA
603,1,12,1,3,0,1,1,1,1,1,1,0,0,0,1,0,0,27,0,0,6,6,6,12.5,0,1,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Graduate,Average GPA,Average GPA
604,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,7,9,7,13.055555555555555,0,0,8,8,8,15.8125,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
605,1,1,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Very Low GPA,Very Low GPA
606,1,8,1,8,1,1,1,1,1,1,1,1,0,1,1,0,1,19,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Very Low GPA
607,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,8,8,7,12.355714285714283,0,0,8,8,7,12.355714285714283,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
608,1,8,1,6,1,1,1,1,1,1,1,0,0,0,1,0,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout,Very Low GPA,Very Low GPA
610,1,1,2,16,1,1,1,1,1,1,1,1,0,1,1,0,1,20,0,0,7,7,7,13.857142857142858,0,0,7,8,7,12.571428571428571,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
611,2,1,1,3,0,1,1,2,2,2,2,1,0,0,1,0,0,24,0,0,6,9,5,13.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate,Average GPA,Above Average GPA
612,1,1,1,5,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,6,6,12.833333333333334,0,0,6,10,6,11.166666666666666,0,12.4,0.5,1.79,Graduate,Average GPA,Low GPA
614,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,8,8,7,12.357142857142858,0,0,8,8,7,12.357142857142858,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
615,1,1,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,7,13.857142857142858,0,0,8,8,7,13.857142857142858,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
616,1,8,2,10,1,3,1,1,1,1,1,1,0,0,1,0,1,20,0,0,6,6,6,12.333333333333334,0,0,6,6,6,10.666666666666666,0,9.4,-0.8,-3.12,Graduate,Average GPA,Low GPA
617,1,8,1,12,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,7,8,7,12.847142857142858,0,0,8,10,8,13.788888888888888,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
618,1,8,2,12,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,7,9,6,12.339999999999998,0,0,8,9,8,13.01875,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
620,1,1,1,15,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,6,6,13.833333333333334,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
621,1,8,2,9,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,5,15,2,10.75,0,0,5,11,2,10.0,0,13.9,-0.3,0.79,Dropout,Low GPA,Low GPA
622,1,8,5,16,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,11,4,13.25,0,0,6,10,4,10.25,0,9.4,-0.8,-3.12,Dropout,Average GPA,Low GPA
623,1,8,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,8,13.73125,0,0,8,8,8,13.73125,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
624,1,8,4,5,1,1,1,1,1,1,1,0,0,0,1,0,1,23,0,0,6,6,6,13.333333333333334,0,0,6,8,3,12.666666666666666,0,11.1,0.6,2.02,Dropout,Average GPA,Average GPA
625,1,1,1,16,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,8,5,12.0,0,0,6,9,5,10.8,0,12.7,3.7,-1.7,Dropout,Average GPA,Low GPA
626,1,15,1,3,0,14,1,1,1,1,1,1,0,0,1,0,0,23,0,5,9,10,9,10.88888888888889,0,3,8,10,6,11.333333333333334,0,11.1,0.6,2.02,Graduate,Low GPA,Low GPA
627,1,1,3,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,8,7,13.025,0,0,8,9,8,13.811111111111112,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
628,1,8,2,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate,Average GPA,Above Average GPA
629,1,1,1,15,1,1,1,1,1,1,1,1,1,0,1,0,0,19,0,0,6,10,5,11.8,0,0,6,10,5,12.0,0,10.8,1.4,1.74,Graduate,Low GPA,Average GPA
630,1,12,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,25,0,0,8,8,7,12.042857142857144,0,0,8,8,7,12.042857142857144,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
632,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,7,8,7,12.8375,0,0,8,8,8,15.5,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
633,1,12,1,13,1,1,1,1,1,1,1,0,0,1,1,0,1,24,0,0,7,13,7,11.0,0,0,8,13,7,11.7,0,12.7,3.7,-1.7,Graduate,Low GPA,Low GPA
634,1,1,1,14,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,6,7,6,13.5,0,0,6,9,5,14.0,0,8.9,1.4,3.51,Graduate,Average GPA,Above Average GPA
635,1,8,5,10,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,8,6,12.125,0,0,6,7,6,12.714285714285714,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
636,1,1,5,12,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,8,12,7,12.62857142857143,0,0,8,12,7,12.62857142857143,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
638,1,8,3,10,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,11,5,11.2,0,0,6,13,5,11.6,0,15.5,2.8,-4.06,Graduate,Low GPA,Low GPA
639,1,9,1,15,1,1,1,1,1,1,1,0,0,0,1,0,1,18,0,0,6,6,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,12.7,3.7,-1.7,Dropout,Average GPA,Low GPA
640,2,12,1,14,1,1,1,2,2,2,2,0,0,1,0,0,0,34,0,0,6,7,4,13.5,0,0,6,6,0,0.0,6,12.7,3.7,-1.7,Dropout,Average GPA,Very Low GPA
644,1,1,2,15,1,1,1,1,1,1,1,1,0,1,0,0,0,20,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout,Very Low GPA,Very Low GPA
647,2,12,1,17,0,3,1,2,2,2,2,0,0,0,1,0,0,26,0,0,5,5,5,12.0,0,0,5,6,5,14.833333333333334,0,10.8,1.4,1.74,Graduate,Average GPA,Above Average GPA
648,1,14,2,13,1,1,1,1,1,1,1,0,0,0,1,0,0,27,0,0,7,9,7,12.228571428571428,0,1,8,10,8,13.2125,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
649,1,1,1,14,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,6,4,11.5,0,0,5,5,4,10.75,0,9.4,-0.8,-3.12,Graduate,Low GPA,Low GPA
650,1,8,1,10,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,8,6,15.375,0,0,6,7,6,16.428571428571427,0,16.2,0.3,-0.92,Graduate,Above Average GPA,High GPA
652,1,12,1,12,1,12,1,1,1,1,1,0,0,0,1,0,0,24,0,0,8,11,7,12.614285714285714,0,0,8,11,7,12.614285714285714,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
653,1,15,1,10,1,14,1,1,1,1,1,1,0,0,1,0,1,19,0,3,6,7,5,12.2,0,2,6,6,6,11.5,0,13.9,-0.3,0.79,Graduate,Average GPA,Low GPA
654,1,1,1,15,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,6,13,4,11.75,0,0,6,10,4,11.0,0,10.8,1.4,1.74,Graduate,Low GPA,Low GPA
657,1,16,1,3,0,1,1,1,1,1,1,0,0,0,1,0,0,22,0,14,16,16,13,10.923076923076923,0,13,13,13,11,11.454545454545457,0,16.2,0.3,-0.92,Graduate,Low GPA,Low GPA
658,1,14,1,5,1,1,1,1,1,1,1,0,0,0,1,0,0,20,0,0,6,6,5,12.4,0,0,6,9,5,12.4,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
659,1,12,1,4,1,1,1,1,1,1,1,0,0,0,1,0,0,25,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,Very Low GPA,Very Low GPA
660,1,15,1,4,1,14,1,1,1,1,1,0,0,0,1,0,0,21,0,0,6,6,6,15.833333333333334,0,0,6,8,6,15.5,0,15.5,2.8,-4.06,Graduate,Above Average GPA,Above Average GPA
662,1,8,4,15,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,7,6,12.571428571428571,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
663,1,1,3,14,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,5,7,3,12.0,0,0,5,7,4,13.25,1,7.6,2.6,0.32,Graduate,Average GPA,Average GPA
664,1,8,3,12,1,1,1,1,1,1,1,1,0,0,1,1,0,19,0,0,7,8,7,13.3625,0,0,8,9,8,14.444444444444445,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
665,1,1,1,6,1,1,5,1,1,1,1,1,0,0,1,0,1,19,1,0,5,6,5,15.4,0,0,5,5,5,16.0,0,10.8,1.4,1.74,Graduate,Above Average GPA,High GPA
666,1,8,2,15,1,1,1,1,1,1,1,1,0,1,0,0,0,18,0,0,6,9,5,12.2,0,0,6,9,4,11.75,0,10.8,1.4,1.74,Dropout,Average GPA,Low GPA
667,1,16,1,10,1,14,1,1,1,1,1,1,0,0,1,0,1,20,0,6,11,11,11,12.818181818181818,0,6,11,11,11,13.545454545454543,0,12.4,0.5,1.79,Graduate,Average GPA,Average GPA
668,1,8,5,12,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout,Very Low GPA,Very Low GPA
